종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,종목코드,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,배당수익률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PER(배),EPS(원),PBR(배),BPS(원),배당수익률%
한국파마 *,78100.0,8600.0,+12.37%,78100.0,78200.0,3588899.0,279786.0,688406.0,032300,10906701,10906701,37722,0.35%,107.03,+0.01%,,코스닥,8518,87,94800,20000,74800,4.74,-16700.0,0.8238396624472574,,,,169.41,461,17.16 , 4551,0.06
삼아제약 *,23050.0,1550.0,+7.21%,23000.0,23050.0,226300.0,5151.0,219443.0,009300,6370000,6370000,77432,1.22%,107.03,+0.01%,,코스닥,1468,707,23000,14300,8700,1.6083916083916083,50.0,1.0021739130434784,,,,,-175,0.84 , 27352,1.3
코스맥스엔비티 *,9210.0,580.0,+6.72%,9200.0,9210.0,191697.0,1733.0,127164.0,222040,20628000,20628000,300027,1.45%,107.03,+0.01%,,코스닥,1900,569,12900,7000,5900,1.8428571428571427,-3690.0,0.713953488372093,14950.0,4.0,매수,,-449,3.33 , 2769,
지엘팜텍 *,1455.0,85.0,+6.20%,1450.0,1455.0,6712248.0,9666.0,12967049.0,204840,51886844,51886844,577674,1.11%,107.03,+0.01%,,코스닥,755,1169,2390,855,1535,2.7953216374269005,-935.0,0.608786610878661,,,,,-67,5.33 , 273,
이수앱지스 *,16350.0,950.0,+6.17%,16350.0,16400.0,1619361.0,25924.0,492397.0,086890,33182668,33182668,102147,0.31%,107.03,+0.01%,,코스닥,5425,164,25000,6660,18340,3.7537537537537538,-8650.0,0.654,,,,,-548,8.19 , 1997,
코오롱생명과학 *,37750.0,2150.0,+6.04%,37700.0,37750.0,272702.0,10243.0,425217.0,102940,11412356,11412356,267490,2.34%,107.03,+0.01%,,코스닥,4308,228,39100,17850,21250,2.1904761904761907,-1350.0,0.9654731457800512,,,,,-2515,6.70 , 5636,
지트리비앤티 *,10650.0,600.0,+5.97%,10600.0,10650.0,773178.0,8178.0,274290.0,115450,27088019,27088019,1288913,4.76%,107.03,+0.01%,,코스닥,2885,359,33550,9520,24030,3.524159663865546,-22900.0,0.3174366616989568,,,,,-667,3.46 , 3074,
하이텍팜 *,19000.0,900.0,+4.97%,19000.0,19050.0,78680.0,1473.0,25495.0,106190,7088782,7088782,3142955,44.34%,107.03,+0.01%,,코스닥,1347,773,29450,11250,18200,2.617777777777778,-10450.0,0.6451612903225806,,,,,-52,1.42 , 13393,0.26
한국유니온제약 *,13050.0,550.0,+4.40%,13000.0,13050.0,78448.0,1011.0,63929.0,080720,7903728,7903728,157300,1.99%,107.03,+0.01%,,코스닥,1031,965,25500,11300,14200,2.256637168141593,-12450.0,0.5117647058823529,,,,,-1234,1.68 , 7754,
JW중외제약2우B,59800.0,2400.0,+4.18%,59000.0,59800.0,1254.0,74.0,3388.0,001067,93028,93028,494,0.53%,107.03,+0.01%,,코스피,56,1584,135110,50155,84955,2.6938490678895426,-75310.0,0.44260232403227,,,,,-146,6.73 , 8886,0.54
에이비온 *,16500.0,650.0,+4.10%,16450.0,16500.0,823140.0,13661.0,672058.0,203400,15249795,15249795,78319,0.51%,107.03,+0.01%,,코스닥,2516,415,22400,5070,17330,4.418145956607495,-5900.0,0.7366071428571429,,,,,-756,N/A , -4980,
팜스빌 *,17750.0,500.0,+2.90%,17700.0,17750.0,3772153.0,69235.0,6593366.0,318010,7929338,7929338,16005,0.20%,107.03,+0.01%,,코스닥,1407,743,17250,9500,7750,1.8157894736842106,500.0,1.0289855072463767,,,,48.90,363,2.44 , 7262,0.56
동화약품,15150.0,400.0,+2.71%,15150.0,15200.0,196509.0,2956.0,320122.0,000020,27931470,27931470,946088,3.39%,107.03,+0.01%,,코스피,4232,406,29600,13400,16200,2.208955223880597,-14450.0,0.5118243243243243,,,,13.55,1118,1.23 , 12272,1.19
신신제약 *,8420.0,220.0,+2.68%,8410.0,8420.0,350371.0,2966.0,79612.0,002800,15170500,15170500,307692,2.03%,107.03,+0.01%,,코스닥,1277,812,13050,7090,5960,1.840620592383639,-4630.0,0.6452107279693486,,,,,-32,2.32 , 3629,
한독,26950.0,700.0,+2.67%,26900.0,26950.0,41949.0,1117.0,44509.0,002390,13763533,13763533,381932,2.77%,107.03,+0.01%,,코스피,3709,444,39000,24100,14900,1.6182572614107884,-12050.0,0.691025641025641,45000.0,4.0,매수,11.79,2286,0.93 , 29120,1.11
테라젠이텍스 *,7490.0,190.0,+2.60%,7480.0,7490.0,94010.0,695.0,123823.0,066700,32474435,32474435,515944,1.59%,107.03,+0.01%,,코스닥,2432,438,14550,7090,7460,2.052186177715092,-7060.0,0.5147766323024054,,,,,-184,0.93 , 8032,
동아쏘시오홀딩스,120500.0,3000.0,+2.55%,120500.0,121000.0,26172.0,3130.0,11615.0,000640,6347506,6347506,772306,12.17%,107.03,+0.01%,,코스피,7649,289,157500,99500,58000,1.5829145728643217,-37000.0,0.765079365079365,160000.0,4.0,매수,4.52,26636,0.82 , 147443,0.83
신풍제약우,94200.0,2200.0,+2.39%,94100.0,94200.0,78746.0,7585.0,38847.0,019175,2200000,2200000,9422,0.43%,107.03,+0.01%,,코스피,2072,629,253000,62200,190800,4.067524115755627,-158800.0,0.3723320158102767,,,,1570.00,60,13.18 , 7145,0.12
위더스제약 *,13950.0,300.0,+2.20%,13900.0,13950.0,84930.0,1179.0,154104.0,330350,13188622,13188622,78337,0.59%,107.03,+0.01%,,코스닥,1840,581,18933,11433,7500,1.6559958016268697,-4983.0,0.7368087466328632,,,,48.78,286,2.34 , 5954,0.23
에이치엘비생명과학 *,22400.0,450.0,+2.05%,22350.0,22400.0,5249129.0,117428.0,7042982.0,067630,94180906,94180906,6398323,6.79%,107.03,+0.01%,,코스닥,21097,19,23000,7249,15751,3.1728514277831423,-600.0,0.9739130434782609,,,,,-680,8.27 , 2707,
대성미생물 *,18200.0,350.0,+1.96%,18050.0,18200.0,17870.0,318.0,9657.0,036480,3800000,3800000,66834,1.76%,107.03,+0.01%,,코스닥,692,1230,27250,14700,12550,1.8537414965986394,-9050.0,0.6678899082568808,,,,206.82,88,1.90 , 9588,0.47
녹십자웰빙 *,10500.0,200.0,+1.94%,10400.0,10500.0,25920.0,270.0,65033.0,234690,17752276,17752276,231696,1.31%,107.03,+0.01%,,코스닥,1864,579,18850,9740,9110,1.9353182751540041,-8350.0,0.5570291777188329,,,,66.46,158,2.18 , 4813,0.48
제일파마홀딩스,19200.0,350.0,+1.86%,19100.0,19200.0,7674.0,144.0,25613.0,002620,15973355,15973355,1527439,9.56%,107.03,+0.01%,,코스피,3067,494,33000,17150,15850,1.924198250728863,-13800.0,0.5818181818181818,,,,42.95,447,0.72 , 26847,0.37
신풍제약,67800.0,1200.0,+1.80%,67700.0,67800.0,1611083.0,110840.0,951661.0,019170,52984990,52984990,4379701,8.27%,107.03,+0.01%,,코스피,35924,97,214000,59500,154500,3.596638655462185,-146200.0,0.3168224299065421,,,,1130.00,60,9.49 , 7145,0.15
씨티씨바이오 *,12600.0,200.0,+1.61%,12550.0,12600.0,205987.0,2567.0,156066.0,060590,22674323,22674323,834284,3.68%,107.03,+0.01%,,코스닥,2857,361,14500,5680,8820,2.5528169014084505,-1900.0,0.8689655172413793,,,,,-204,3.35 , 3761,
큐라클 *,39900.0,600.0,+1.53%,39900.0,40000.0,440589.0,17678.0,367287.0,365270,13355968,13355968,38302,0.29%,107.03,+0.01%,,코스닥,5329,169,62400,28500,33900,2.1894736842105265,-22500.0,0.6394230769230769,,,,,-2624,47.39 , 842,
바이온 *,1505.0,20.0,+1.35%,1505.0,1510.0,627294.0,938.0,804933.0,032980,66900777,66900777,2046829,3.06%,107.03,+0.01%,,코스닥,1007,982,2475,1100,1375,2.25,-970.0,0.6080808080808081,,,,,-69,2.33 , 647,
제일바이오 *,3830.0,50.0,+1.32%,3830.0,3835.0,490977.0,1856.0,471464.0,052670,29129064,29129064,798003,2.74%,107.03,+0.01%,,코스닥,1116,903,4721,3062,1659,1.5418027433050294,-891.0,0.8112687989832662,,,,63.83,60,2.71 , 1414,
삼성바이오로직스,925000.0,12000.0,+1.31%,924000.0,925000.0,59416.0,55010.0,103517.0,207940,66165000,66165000,6978755,10.55%,107.03,+0.01%,,코스피,612026,4,1047000,624000,423000,1.6778846153846154,-122000.0,0.8834765998089781,1060000.0,4.0,매수,182.81,5060,12.80 , 72259,
팜젠사이언스,9520.0,120.0,+1.28%,9510.0,9520.0,102651.0,971.0,83763.0,004720,14712933,14712933,230208,1.56%,107.03,+0.01%,,코스피,1401,747,20200,8450,11750,2.3905325443786984,-10680.0,0.47128712871287126,,,,5.75,1657,1.36 , 7008,
JW생명과학,17500.0,200.0,+1.16%,17450.0,17500.0,21609.0,373.0,33212.0,234080,15834554,15834554,566395,3.58%,107.03,+0.01%,,코스피,2771,529,24000,16300,7700,1.4723926380368098,-6500.0,0.7291666666666666,,,,21.34,820,2.11 , 8291,2.86
대웅,36300.0,400.0,+1.11%,36300.0,36350.0,142993.0,5209.0,177945.0,003090,58141980,58141980,2252604,3.87%,107.03,+0.01%,,코스피,21106,149,86700,20700,66000,4.188405797101449,-50400.0,0.4186851211072664,,,,22.45,1617,2.23 , 16303,0.28
유한양행,64300.0,700.0,+1.10%,64200.0,64300.0,262945.0,16779.0,350580.0,000100,69972959,69972959,12545166,17.93%,107.03,+0.01%,,코스피,44993,74,81000,55118,25882,1.469574367720164,-16700.0,0.7938271604938272,83250.0,4.0,매수,46.76,1375,2.23 , 28781,0.59
노바렉스 *,46000.0,500.0,+1.10%,46000.0,46150.0,29150.0,1338.0,23283.0,194700,9003740,9003740,94115,1.05%,107.03,+0.01%,,코스닥,4142,239,50700,35800,14900,1.4162011173184357,-4700.0,0.9072978303747534,56833.0,4.0,매수,15.84,2904,2.90 , 15874,0.65
유유제약2우B,24750.0,250.0,+1.02%,24750.0,24800.0,586.0,14.0,627.0,000227,325560,325560,144,0.04%,107.03,+0.01%,,코스피,81,1489,59000,13315,45685,4.4310927525347354,-34250.0,0.4194915254237288,,,,1375.00,18,3.70 , 6698,0.44
대웅제약,158000.0,1500.0,+0.96%,157500.0,158000.0,38376.0,6085.0,66868.0,069620,11586575,11586575,793653,6.85%,107.03,+0.01%,,코스피,18307,160,286500,88200,198300,3.248299319727891,-128500.0,0.5514834205933682,211667.0,4.0,매수,617.19,256,3.21 , 49181,0.38
